"ID","Attrition"
1171,1
1172,1
1173,2
1174,1
1175,1
1176,1
1177,1
1178,1
1179,1
1180,1
1181,1
1182,1
1183,1
1184,1
1185,1
1186,1
1187,1
1188,1
1189,1
1190,1
1191,2
1192,1
1193,1
1194,2
1195,1
1196,1
1197,2
1198,2
1199,2
1200,2
1201,2
1202,1
1203,1
1204,2
1205,2
1206,1
1207,1
1208,1
1209,1
1210,1
1211,1
1212,2
1213,1
1214,1
1215,2
1216,1
1217,1
1218,1
1219,2
1220,1
1221,1
1222,1
1223,1
1224,1
1225,1
1226,1
1227,1
1228,1
1229,1
1230,2
1231,1
1232,1
1233,2
1234,1
1235,1
1236,2
1237,1
1238,1
1239,2
1240,1
1241,1
1242,1
1243,1
1244,1
1245,1
1246,2
1247,1
1248,1
1249,1
1250,1
1251,1
1252,1
1253,1
1254,1
1255,1
1256,1
1257,1
1258,1
1259,1
1260,2
1261,1
1262,1
1263,1
1264,1
1265,1
1266,1
1267,1
1268,1
1269,2
1270,2
1271,1
1272,1
1273,1
1274,1
1275,2
1276,1
1277,1
1278,1
1279,2
1280,1
1281,2
1282,1
1283,1
1284,1
1285,1
1286,1
1287,1
1288,1
1289,1
1290,1
1291,1
1292,1
1293,1
1294,1
1295,1
1296,1
1297,2
1298,1
1299,1
1300,1
1301,1
1302,1
1303,1
1304,2
1305,1
1306,1
1307,1
1308,1
1309,2
1310,2
1311,1
1312,1
1313,1
1314,1
1315,1
1316,1
1317,2
1318,2
1319,1
1320,1
1321,1
1322,1
1323,1
1324,1
1325,2
1326,1
1327,1
1328,2
1329,2
1330,1
1331,1
1332,1
1333,2
1334,1
1335,1
1336,2
1337,1
1338,1
1339,1
1340,1
1341,2
1342,1
1343,2
1344,1
1345,1
1346,1
1347,1
1348,1
1349,1
1350,1
1351,2
1352,1
1353,1
1354,1
1355,1
1356,1
1357,1
1358,2
1359,1
1360,1
1361,1
1362,1
1363,1
1364,1
1365,2
1366,2
1367,2
1368,1
1369,1
1370,1
1371,1
1372,1
1373,1
1374,1
1375,1
1376,2
1377,1
1378,1
1379,1
1380,1
1381,2
1382,1
1383,1
1384,1
1385,1
1386,2
1387,1
1388,1
1389,1
1390,1
1391,1
1392,2
1393,1
1394,1
1395,1
1396,1
1397,1
1398,1
1399,2
1400,1
1401,2
1402,2
1403,1
1404,2
1405,1
1406,1
1407,1
1408,1
1409,1
1410,1
1411,2
1412,1
1413,1
1414,1
1415,1
1416,1
1417,2
1418,1
1419,1
1420,2
1421,2
1422,1
1423,1
1424,1
1425,1
1426,1
1427,1
1428,1
1429,2
1430,1
1431,1
1432,1
1433,1
1434,1
1435,1
1436,1
1437,1
1438,1
1439,2
1440,1
1441,2
1442,2
1443,1
1444,2
1445,2
1446,1
1447,1
1448,1
1449,2
1450,2
1451,1
1452,1
1453,1
1454,1
1455,2
1456,2
1457,1
1458,2
1459,2
1460,2
1461,1
1462,1
1463,1
1464,1
1465,2
1466,1
1467,1
1468,2
1469,1
1470,1
